instance_id,difficulty,tier,tier_name,calibration_type,resolved,patch_size_lines,files_changed,test_pass_rate,repair_rounds,audit_failures_detected,agent_time_seconds,eval_time_seconds,setup_time_seconds,governance_overhead_seconds,total_time_seconds,human_intervention_count,mock_used,evidence_completeness,final_gate_passed,not_full_tier_C,failure_reason
django__django-12050,easy,A,raw_agent,pipeline_smoke,true,3,1,1.0,0,0,87,29,57,0,173,0,false,1.0,false,false,
django__django-12050,easy,B,harness_governance,pipeline_smoke,true,3,1,1.0,0,0,102,27,44,15,188,0,false,0.8,true,false,
django__django-12050,easy,C_b_plus,harness_governance_verify,pipeline_smoke,true,3,1,1.0,0,0,92,26,45,15,178,0,false,0.9,true,true,"Not full Tier C: missing Codex planner, auto loop, repair loop, codex final review, StarMap, loop_report. Executed as B_plus harness_os claw."
django__django-11848,medium,A,raw_agent,medium_calibration,false,9,1,0.0,0,0,84,83,86,0,172,0,false,0.8,false,false,"FAIL_TO_PASS tests still failing: test_parsing_rfc850, test_parsing_year_less_than_70. Patch uses datetime.datetime.now() but test mocks utcnow(). TypeError: comparison between MagicMock and int."
django__django-11848,medium,B,harness_governance,medium_calibration,false,9,1,0.0,0,0,95,91,86,15,179,0,false,0.8,true,false,"Same root cause as Tier A: datetime.datetime.now() vs utcnow() MagicMock error. Governance init+verify passed but patch evaluation failed."
django__django-11848,medium,C,harness_real_loop,medium_calibration,true,8,1,1.0,1,1,47,26,88,0,161,0,false,1.0,true,false,
sphinx-doc__sphinx-10466,easy,A,raw_agent,cross_repo_calibration,true,9,1,1.0,0,0,152,78,35,0,188,0,false,1.0,false,false,
sphinx-doc__sphinx-10466,easy,B,harness_governance,cross_repo_calibration,true,9,1,1.0,0,0,152,78,35,15,187,0,false,0.9,true,false,
sphinx-doc__sphinx-10466,easy,C_partial,harness_real_loop_partial,cross_repo_calibration,true,9,1,1.0,0,0,139,78,35,0,174,0,false,0.65,false,true,"Partial Tier C: agent→eval→Codex review steps executed, but Codex graph planner, auto loop runner, formal final gate dry run, and StarMap writeback script were not invoked. Missing: repo_graph.json, node_index.yaml, execution_order.yaml, metrics.json, process_attestation.json. Loop report/final gate/starmap artifacts reconstructed from existing evidence."
sphinx-doc__sphinx-10466,easy,C_full_rerun,harness_real_loop_adapter,cross_repo_calibration,false,54,2,0.0,2,0,87,0,30,0,432,0,false,1.0,false,false,"Full Tier C via swebench_tier_c_real_loop.py adapter. All 13 artifacts generated. Docker eval failed (v1 run_eval.py invocation issue). 2 repair rounds attempted. eval_invalid=true, excluded_from_resolution_rate=true."
sphinx-doc__sphinx-7590,medium,A,raw_agent,cross_repo_medium_validation,true,15,1,1.0,0,0,200,3,30,0,233,0,false,1.0,false,false,
sphinx-doc__sphinx-7590,medium,B,harness_governance,cross_repo_medium_validation,true,20,1,1.0,0,0,230,2,30,15,277,0,false,1.0,false,false,
14|sphinx-doc__sphinx-7590,medium,C,harness_real_loop_adapter,cross_repo_medium_validation,true,24,1,1.0,0,0,600,14,30,0,690,0,false,1.0,false,false,"Full Tier C via adapter v1.0.1. Docker eval scoped (targeted_cpp_domain, official_eval_blocked=true). Codex review rejected (infinite loop: EOF sentinel isalpha). Final gate failed. Stop reason: codex_final_review_rejected."
15|sphinx-doc__sphinx-7590,medium,C,harness_real_loop_adapter,cross_repo_medium_validation,true,24,1,1.0,1,0,120,14,10,0,294,0,false,1.0,true,false,"Review-triggered repair v1. EOF guard fix (not self.eof) applied, Docker scoped eval passed (CPP_SMOKE_PASSED), Codex round 2 approved, final gate passed. Stop reason: real_loop_complete_after_review_repair."
16|17|django__django-11885,hard,C,harness_real_loop_adapter,hard_validation,true,91,4,1.0,1,0,141,120,30,0,690,0,false,1.0,true,false,"Full Tier C via adapter v1.0.1. Official Docker eval (official_swebench_docker) 45/45 pass. 1 repair round triggered by false-positive infrastructure eval (wrong test script). Codex final review approved. Final gate passed. Stop reason: real_loop_complete."
